Colleges,State
GOVERNMENT ENGINEERING COLLEGE KAIMUR,['Bihar']
GOVERNMENT ENGINEERING COLLEGE KHAGARIA,['Bihar']
Government Engineering College West Champaran,['Bihar']
"G.M.H.P. College, Bagaha",['Bihar']
Aryabhatta Teachers Training College,['Bihar']
Saharsa College of Engineering,['Bihar']
GOVERNMENT ENGINEERING COLLEGE SAMASTIPUR,['Bihar']
"Rural Inst. of H.E., Birauli",['Bihar']
U.P. College,['Bihar']
Government Engineering College Sheikpura,['Bihar']
"SS College, Mehus, Seikhpura",['Bihar']
Government Engineering College Sheohar,['Bihar']
A N S College,['Bihar']
Braj Mohan Das College,['Bihar']
M.D.R.P.D. Mahila College,['Bihar']
Maharaja Hariballabh Memorial College,['Bihar']
C M J College,['Bihar']
"Sri Guru Gobind Singh College (SGGSC), Patna",['Bihar']
"UNIVERSITY DEPARTMENT OF COMMERCE AND BUSINESS ADMINISTRATION (UDCBA), Darbhanga",['Bihar']
"UNIVERSITY DEPARTMENT OF COMMERCE AND BUSINESS ADMINISTRATION, Bhagalpur",['Bihar']
Prithwichand Vigyan Mahavidyalaya,['Bihar']
Ram Sakal Singh Science College,['Bihar']
Raja Singh College,['Bihar']
U.R. College,['Bihar']
Hari Prasad Sah College,['Bihar']
Jagjivan Ram Sharmik Mahavidyalaya,['Bihar']
"Amity Global Business School (AGBS Patna), Patna",['Bihar']
Sabour College,['Bihar']
Bharti Mandan College,['Bihar']
Rameshwar Lata Sanskrit College,['Bihar']
Anugrah Narayan Smarak College,['Bihar']
R.R.S College,['Bihar']
T.I.S.M.College,['Bihar']
Gopeshwar College,['Bihar']
Sri Raghav Prasad Singh College,['Bihar']
Jamuni lal College,['Bihar']
"Admerit Global Business School (AGBS), Patna",['Bihar']
Kirti Narayan Degree College,['Bihar']
H.S. College,['Bihar']
Munshi Lal Arya College,['Bihar']
RameshwarDas Pannalal Women's College,['Bihar']
Prithvi Chand Vigyan College,['Bihar']
Mahanth Mahadevanand Mahila Mahavidyalaya,['Bihar']
Balrampur College,['Bihar']
Raghunandan Prasad Mandal Degree College,['Bihar']
Koshi Mahavidyalaya,['Bihar']
Sri Krishna Ramruchi College,['Bihar']
Gajadhar Bhagat College,['Bihar']
D.S.M.College,['Bihar']
K.S.S.College,['Bihar']
"J.D.S.S. Mahila College, Forbishang",['Bihar']
"Pepople's College, Araria",['Bihar']
"F. Sanda College, Fatehpur",['Bihar']
SAHDEV PRASAD YADAV COLLEGE ARWAL,['Bihar']
"S.B.A.N. College, Darheta Lari",['Bihar']
"S.J.S. College, Kurtha",['Bihar']
SANJAY SINGH YADAV COLLEGE RAFIGANJ,['Bihar']
"Shyama Charan Banushi,Banka",['Bihar']
"DNS College, Bhusia, Rajoun",['Bihar']
"PBS College, Banka",['Bihar']
A. P.S.M. College,['Bihar']
"Mahant Ram Jivan Das College, Vishnupur, Begusarai",['Bihar']
"R.B.S. College, Teyai",['Bihar']
"Murarka College, Sultanganj",['Bihar']
"Brahmarshi Sahjanand Sarashwati College, Bachari-Piro, Bhojpur",['Bihar']
"H.D. Jain College, Ara",['Bihar']
"Jagjiwan College, Ara",['Bihar']
"Jan Sahkari D.C. Barap, Garahni",['Bihar']
"M.G. College, Leharabad",['Bihar']
"S.T.S.M. College, Panwari",['Bihar']
"Veer Kunwar Singh College of Agriculture, Dumraon",['Bihar']
"D.S.S.V. College, Simari",['Bihar']
"H.N.S.B. Janta College, Dhansoi",['Bihar']
"Maharshi Chyawan College, Akhauripur gola, Chousa, Buxar",['Bihar']
"P.C. College, Buxar",['Bihar']
"Ramautar Goutam Sanskrit College, Ahilya Asthan,",['Bihar']
"J. K. College, Biraul",['Bihar']
R.B.J. College,['Bihar']
SATI BHARAT COLLEGE PARARI,['Bihar']
"S.D.College, Pariya",['Bihar']
"Bhola Prasad singh College, Bhore",['Bihar']
"Kamla Rai College, Gopalganj",['Bihar']
"Shri Ram Sanskrit College, Vijayeepur, Gopalganj",['Bihar']
"Sri Ravneshwar Sanskrit College,Gidhaur",['Bihar']
"Sri Krishan Singh College, Lohanda",['Bihar']
"K.P.S. Sna College, H.Ganj",['Bihar']
ALI NAGAR PALI MANAGEMENT COLLEGE,['Bihar']
"J.M. College,Sakri Kudra",['Bihar']
"Shaheed Sanjay Singh  Mahila College, Bhabua, Kaimur",['Bihar']
nusrat banu educational welfare society,['Bihar']
"KDS College, Gogri",['Bihar']
"Mahila College, Khagaria",['Bihar']
"MS College, Alouli, Khagaria",['Bihar']
"R. K. Saha  Women's College, Kishanganj",['Bihar']
D N DEGREE COLLEGE BAKHRI MADHEPURA,['Bihar']
"H.S. College, Udakishunganj",['Bihar']
"Madhepura College, Madhepura",['Bihar']
"S.A.K.N.D. College, Madhepura",['Bihar']
"DR RAM KRISHANA THAKUR JANTA SANSKRIT MAHAVIDHALAYA, EAKHARI, MADHUBANI",['Bihar']
C.M.B. College,['Bihar']
D.N.Y. College,['Bihar']
"K.V.Sc. College,",['Bihar']
LUTAN JHA MAHAVIDYALAYA NANAUR JHANJHARPUR,['Bihar']
P.D.K. Jha College,['Bihar']
P.L.M. College Jhanjharpur,['Bihar']
"Dr. Jagannath Mishra College, Muzaffarpur",['Bihar']
"Jang Bahadur Singh Dhanaur College, Bakuchi, Muzaffarpur",['Bihar']
"R.C.College, Dholi, Sakra, Muzaffarpur",['Bihar']
"Syamnandan Sahay College, Muzaffarpur",['Bihar']
"College of Fisheries, Dholi",['Bihar']
"College of Horticulture, Noorsarai",['Bihar']
"DEO SHARAN WOMEN'S EVENING COLLEGE , SOHSARAI , NALANDA",['Bihar']
"K.S.T. College, Sohsarai",['Bihar']
"Soghra College, Biharsharif",['Bihar']
"S.U.College,Hilsa",['Bihar']
"Krishak College,Pakri Barwan",['Bihar']
RAVIKANT PUNAM MAHAVIDYALAYA,['Bihar']
"S.K.M.College,",['Bihar']
"S.N.Sinha College, Warsaliganj",['Bihar']
GYANSAROVAR SCHOOL OF MANAGEMENT,['Bihar']
MONA SCHOOL OF NURSING AND PARAMEDICAL COLLEGE,['Bihar']
Public Health Institute,['Bihar']
"SURENDRA PRATAP SINGH INSTITUTE OF JOURNALISM & MASS COMMUNICATION , PATNA",['Bihar']
"J.N.L.College, Khagaul",['Bihar']
"P.L.S.College, Masaurhi",['Bihar']
"SYED NEHAL AHSAN EVENING COLLEGE, BARH PATNA",['Bihar']
"Khemchand Tarachand College, Raxaul",['Bihar']
"PANDIT UGAM PANDEY COLLEGE, MOTIHARI",['Bihar']
"PANDIT DEENDAYAL UPADHYAY COLLEGE OF HORTICULTURE AND FORESTRY, PIPRAKOTHI",['Bihar']
"Bhola Paswan Shastri Agricultural College, Purnia",['Bihar']
"N.D. College, Rambagh",['Bihar']
"Girish Narayan Mishra College, Parsathua,Rohtas",['Bihar']
"Jagjiwan College, Dehri-On-Sone",['Bihar']
"Patel College,Ghusiakhurd, Bikramganj",['Bihar']
"Pr. B.P. Singh College, Simri",['Bihar']
"R.M. Devi C.D. Rai College, Nuwan, Kochas",['Bihar']
"Sheopujan Shastri Samta College, Dinara, Rohtas",['Bihar']
"Sri Shankar College, Sasaram",['Bihar']
S.S.T. College Sasaram,['Bihar']
"U.C.M. College, Udaipur, Sanjhauli",['Bihar']
"V.K.S. Mahila College, Kashi Mednipur",['Bihar']
"S.N.S.R.K.S. College, Saharsa",['Bihar']
"Mandan Bharti Agricultural College, Agwanpur",['Bihar']
A.N.D. College,['Bihar']
"R.L.S.R.S.M. College,",['Bihar']
Samastipur College,['Bihar']
Sant Kabir College,['Bihar']
S.K. College Thatia,['Bihar']
"Hotilal Ramnath College, Amnour",['Bihar']
"Nand Lal Singh College, Daudpur",['Bihar']
"Ram Jaipal College, Chapra",['Bihar']
"Yadunandan College, Dighwara",['Bihar']
"CNB College, Hathiama, Sheikhpura",['Bihar']
RD College. Sheikhpura,['Bihar']
"Jawahar Lal Nehru Memorial College, Sitamarhi",['Bihar']
"J.S.College, Chandaul, Sitamarhi",['Bihar']
"Sri Radha Krishna Goenka College, Sitamarhi",['Bihar']
"Hari Ram College, Mairwa",['Bihar']
"Ram Bilas Ganga Ram College, Maharajganj",['Bihar']
"Zakia Afaque Islamia College, Siwan",['Bihar']
"Deochand College, Hajipur",['Bihar']
"N.N. College, Singhara, Vaishali",['Bihar']
"Vaishali Mahila College, Hajipur",['Bihar']
"Virchand Patel Smarak College, Desri, Vaishali",['Bihar']
CRK INSTITUTE OF MANAGEMENT (CRKIM),['Bihar']
NARAYAN ACADEMY OF MANAGERIAL EXCELLENCE,['Bihar']
NID Ahmedabad,['Gujarat']
IIM Ahmedabad,['Gujarat']
United World Institute Of Design,['Gujarat']
G.L.S. Institute Of Computer Application,['Gujarat']
Xaviers Institute of Computer Application,['Gujarat']
"Institute of Hotel Management (IHM), Ahmedabad",['Gujarat']
Swarrnim Startup And Innovation University,['Gujarat']
Marwadi University,['Gujarat']
GASC Ahmedabad,['Gujarat']
GNLU Gandhinagar,['Gujarat']
NIFT Gandhinagar,['Gujarat']
IIT Gandhinagar,['Gujarat']
BJMC Ahmedabad,['Gujarat']
NIPER Ahmedabad,['Gujarat']
Shri Gayatri College of Education,['Gujarat']
GIFT Ahmedabad,['Gujarat']
Narsinhbhai Patel Dental College & Hospital,['Gujarat']
Parul University,['Gujarat']
"Government Dental College (GDC), Jamnagar",['Gujarat']
Pandit Deendayal Updhyay Medical College,['Gujarat']
MSU Vadodara,['Gujarat']
NIMCJ Ahmedabad,['Gujarat']
"Rai University, Ahmedabad",['Gujarat']
Smt. N.H.L. Municipal Medical College,['Gujarat']
Sumandeep Vidyapeeth Group Of Institutes,['Gujarat']
Gujarat Institute of Hotel Management,['Gujarat']
MICA Ahmedabad,['Gujarat']
C.U.Shah Medical College,['Gujarat']
Anant National University,['Gujarat']
GCRI Ahmedabad,['Gujarat']
Swami Vivekanand College of Computer Science,['Gujarat']
Nirma University,['Gujarat']
"Raffles Millennium International (RMI), Ahmedabad",['Gujarat']
VIHTM Rajkot,['Gujarat']
SVNIT Surat,['Gujarat']
IIHM Ahmedabad,['Gujarat']
"Institute of Rural Management (IRMA), Anand",['Gujarat']
Shrimad Rajchandra Institute of Management and Computer Application,['Gujarat']
"Christ College (CC), Rajkot",['Gujarat']
Frameboxx Animation & Visual Effects Private Limited Ahmedabad,['Gujarat']
Kadi Sarva Vishwavidyalaya,['Gujarat']
"Arrdekta Institute of Technology (AIT), Sabarkantha",['Gujarat']
Ganpat University,['Gujarat']
G H PATEL P G DEPARTMENT OF COMPUTER SCIENCE AND TECHNOLOGY,['Gujarat']
LMCP Ahmedabad,['Gujarat']
RK University,['Gujarat']
Pandit Deendayal Energy University,['Gujarat']
"Gujarat Technological University
                        , Ahmedabad",['Gujarat']
"Virohan Institute of Health & Management Sciences, IIIEM - Ahmedabad",['Gujarat']
DAIICT,['Gujarat']
"Shri Manibhai Virani and Smt. Navalben Virani Science College, Rajkot",['Gujarat']
Maliba Pharmacy College,['Gujarat']
"Institute of Infrastructure, Technology, Research and Management",['Gujarat']
VNSGU,['Gujarat']
Sardar Patel University,['Gujarat']
Indus University,['Gujarat']
Silver Oak University,['Gujarat']
Medical College of Baroda,['Gujarat']
Atmiya University,['Gujarat']
CEPT University,['Gujarat']
Karnavati University,['Gujarat']
DDU Nadiad,['Gujarat']
VNSGU Surat,['Gujarat']
Pharmacy College,['Gujarat']
Sabarmati University,['Gujarat']
MPSMC Jamnagar,['Gujarat']
IIIT Vadodara,['Gujarat']
"Indian Institute of Information Technology (IIIT), Vadodara",['Gujarat']
Sankalchand Patel University,['Gujarat']
Indrashil University,['Gujarat']
GSFC University,['Gujarat']
Manubhai Patel Dental College & Charitable Dental Hospital,['Gujarat']
Navrachana University,['Gujarat']
Charotar University Of Science And Technology,['Gujarat']
AMC Ahmedabad,['Gujarat']
Karnavati School of Dentistry,['Gujarat']
LDCE Ahmedabad,['Gujarat']
B N Patel Institute of Paramedical and Science,['Gujarat']
LDCE Ahmedabad,['Gujarat']
IIIT Surat,['Gujarat']
Digital Computers,['Gujarat']
"Ahmedabad Dental College (ADC), Ahmedabad",['Gujarat']
College of Dental Sciences & Research Centre,['Gujarat']
Goenka Research Institute of Dental Science,['Gujarat']
Polytechnic in Agriculture,['Gujarat']
BABARIA INSTITUTE OF TECHNOLOGY,['Gujarat']
ITM (SLS) Baroda University,['Gujarat']
"Ahmedabad Institute of Technology (AIT), Ahmedabad",['Gujarat']
K M Shah Dental College & Hospital,['Gujarat']
Gokul Global University,['Gujarat']
Institute of Life Science,['Gujarat']
SAL Institute of Pharmacy,['Gujarat']
Dr. Subhash University,['Gujarat']
SOCET Ahmedabad,['Gujarat']
Sigma University,['Gujarat']
C U Shah University,['Gujarat']
Siddhpur Dental Collage & Hospital,['Gujarat']
IAR Gandhinagar,['Gujarat']
Auro University,['Gujarat']
"INDO GERMAN TOOL ROOM (IGTR), Ahmedabad",['Gujarat']
"Govt. Dental College (GDC), Ahmedabad",['Gujarat']
"Government Engineering College (GEC), Gandhinagar",['Gujarat']
"Faculty of Pharmacy, Dharmsinh Desai University",['Gujarat']
Gyanmanjari Institute of Technology,['Gujarat']
PPSU Surat,['Gujarat']
"Government Medical College
                        , Bhavnagar",['Gujarat']
Noble Group of Institutions,['Gujarat']
"A.D.Patel Institute Of Technology (ADIT), Anand",['Gujarat']
Mahatma Gandhi Labour Institute,['Gujarat']
"GMERS Medical College (GMERSMC), Vadodara",['Gujarat']
LDRP Institute of Technology and Research,['Gujarat']
"GMERS Medical College (GMERSMCV), Valsad",['Gujarat']
Vadodara Institute of Engineering,['Gujarat']
"College of Agriculture (CA), Junagadh",['Gujarat']
Asia Pacific Institute of Management,['Gujarat']
VPMP Polytechnic,['Gujarat']
Shree Swaminarayan Institute of Technology,['Gujarat']
ITM Vocational University,['Gujarat']
Institute of Medical Post-graduate Studies & Research,['Gujarat']
GLOBAL DIPLOMA IN MEDICAL LAB TECHNICIAN COLLEGE,['Gujarat']
Gandhinagar Institute of Technology,['Gujarat']
Birla Vishvakarma Mahavidyalaya,['Gujarat']
SCET Surat,['Gujarat']
Saraswati Institute of Pharmaceutical Sciences,['Gujarat']
INS VALSURA,['Gujarat']
L.J. Polytechnic,['Gujarat']
CIPET Ahmedabad,['Gujarat']
Shankersinh Vaghela Bapu Institute of Technology,['Gujarat']
"Government Polytechnic (GP), Gandhinagar",['Gujarat']
"Apollo Institute of Engineering and Technology (AIET), Ahmedabad",['Gujarat']
Gujarat Adani Institute of Medical Sciences,['Gujarat']
"ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING, Ahmedabad",['Gujarat']
IITE Gandhinagar,['Gujarat']
SMIMER Surat,['Gujarat']
"Merchant Education Campus, Basna",['Gujarat']
Saffrony Institute of Technology,['Gujarat']
Sardar Vallabhbhai Patel Institute Of Technology,['Gujarat']
Bapu Gujarat Knowledge Village,['Gujarat']
Khyati Foundation,['Gujarat']
Kalol Institute of Pharmacy,['Gujarat']
Harivandana college,['Gujarat']
"Faculty of Management Studies (FMS), Vadodara",['Gujarat']
TeamLease Skills University,['Gujarat']
Charutar Arogya Mandal,['Gujarat']
Anand Law College,['Gujarat']
Veerayatan Institute of Pharmacy,['Gujarat']
GLS Ahmedabad,['Gujarat']
Indukaka Ipcowala College of Pharmacy,['Gujarat']
Kalol Institute Of Technology & Research Centre,['Gujarat']
Indian Institute of Ayurvedic Pharmaceutical Sciences,['Gujarat']
GEC Surat,['Gujarat']
Institute of Law Nirma University,['Gujarat']
Narnarayan Shastri Institute of Technology,['Gujarat']
"Government Polytechnic (GP), Rajkot",['Gujarat']
Baroda Homeopathic Medical College,['Gujarat']
Balaji Engineering,['Gujarat']
Gati Shakti Vishwavidyalaya,['Gujarat']
Om Institute of Technology,['Gujarat']
"Vivekanand College (VC), Surat",['Gujarat']
"Government Polytechnic (GP), Valsad",['Gujarat']
RCTI Ahmedabad,['Gujarat']
Grace College,['Gujarat']
KBIPER Gandhinagar,['Gujarat']
Maneklal Nanavati Law College,['Gujarat']
Geetanjali Group of Colleges,['Gujarat']
Gujarat Institute of Management,['Gujarat']
B.D. College,['Gujarat']
Swarrnim University Powered by i Nurture,['Gujarat']
SDPC Surat,['Gujarat']
Gujarat Power Engineering & Research Institute,['Gujarat']
Sir Bhavsinhji Polytechnic Institute,['Gujarat']
Nootan Pharmacy College,['Gujarat']
Sat Kaival College of Pharmacy,['Gujarat']
"Gujarat University
                        (Gujarat University)
                        , Ahmedabad",['Gujarat']
Tolani Institute of Pharmacy,['Gujarat']
A-One Pharmacy College,['Gujarat']
"Sardarkrushinagar Dantiwada Agricultural University
                        , Banaskantha",['Gujarat']
Kalyan Polytechnic Jamnagar,['Gujarat']
Gandhinagar University,['Gujarat']
APC Anand,['Gujarat']
Shree Swami Atmanand Saraswati Institute of Technology,['Gujarat']
Darshan Institute of Engineering & Technology,['Gujarat']
"Adani Institute of Infrastructure Management (AIIM), Ahmedabad",['Gujarat']
SRK Institute of Management and Computer Education,['Gujarat']
Vidhyadeep University,['Gujarat']
SKIPS University,['Gujarat']
"Sheth M.C.Polytehnic in Agriculture , Anand",['Gujarat']
"SHREE KRISHNA DIPLOMA IN HEALTH AND SANITARY INSPECTOR, LAKHANI",['Gujarat']
"Polytechnic in Agricultural Engineering, Dahod",['Gujarat']
"AMRUT INSTITUTE JUNAGADH, Ahmedabad",['Gujarat']
"POLYTECHNIC IN ANIMAL HUSBANDARY, JUNAGADH",['Gujarat']
SHRI KRISHNA DIPLOMA IN HEALTH AND SENETARY INSPECTOR,['Gujarat']
"Government Science College (GSC), Kutch",['Gujarat']
SHETH B R POLYTECHNIC IN HORTICULTURE,['Gujarat']
SHRI JIVAN JYOT SANITARY INSPECTOR COLLEGE,['Gujarat']
"Sheth D.M.Polytehnic in Horticulture, Vadodara",['Gujarat']
PARUL INSTITUTE OF ARTS,['Gujarat']
PARUL INSTITUTE OF AYURVED,['Gujarat']
PARUL INSTITUTE OF AYURVED AND RESEARCH,['Gujarat']
PARUL INSTITUTE OF COMMERCE,['Gujarat']
Parul Institute of Engineering & Technology-Vadodara,['Gujarat']
PARUL INSTITUTE OF FINE ARTS,['Gujarat']
"PARUL INSTITUTE OF NURSING, VAGHODIYA",['Gujarat']
SSEC Bhavnagar,['Gujarat']
"PARUL INSTITUTE OF PHARMACY, LIMDA 233",['Gujarat']
PARUL INSTITUTE OF PUBLIC HEALTH,['Gujarat']
parul institute of Social Work,['Gujarat']
Entrepreneurship Development Institute of India,['Gujarat']
"PARUL POLYTECHNIC INSTITUTE, LIMDA",['Gujarat']
"POLYTECHNIC IN HORTICULTURE, PARIA",['Gujarat']
Government Polytechnic Himatnagar,['Gujarat']
"Government Polytechnic (GP), Jamnagar",['Gujarat']
DJMIT Anand,['Gujarat']
SSP Gandhinagar,['Gujarat']
"Indian School of Business Management & Administration (ISBM), Ahmedabad",['Gujarat']
SVMIT Bharuch,['Gujarat']
Sal Education Campus,['Gujarat']
Aditya Silver Oak Institute of Technology,['Gujarat']
Sir P. P. Institute of Science,['Gujarat']
"Government Polytechnic (GPP), Porbandar",['Gujarat']
Dalia Institute of Diploma Studies,['Gujarat']
"Government Polytechnic (GP), Junagadh",['Gujarat']
Butler Polytechnic,['Gujarat']
Bhailalbhai And Bhikhabhai Institute Of Technology,['Gujarat']
Dinsha Patel College of Nursing,['Gujarat']
ILSASS Anand,['Gujarat']
N.S. Patel Arts College,['Gujarat']
Tolani Institute of Law,['Gujarat']
Lj Group Of Institutes,['Gujarat']
"Bhagwan Mahavir College of Pharmacy (MCP), Surat",['Gujarat']
"Government Polytechnic (GPP), Palanpur",['Gujarat']
"Government Polytechnic (GP), Bhuj",['Gujarat']
"Balaji Institute of Engineering and Technology (BIET), Junagadh",['Gujarat']
N.G. Patel Polytechnic,['Gujarat']
Shree Pandit Nathulalji Vyas Technical Campus,['Gujarat']
L.D. Arts College,['Gujarat']
Marwadi Education Foundation,['Gujarat']
A.P.M.C. COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH,['Gujarat']
Diwaliba Polytechnic,['Gujarat']
Jayvantrai Harrai Desai Polytechnic,['Gujarat']
SDJ International College,['Gujarat']
VGEC Ahmedabad,['Gujarat']
DEPARTMENT OF COMPUTER SCIENCE,['Gujarat']
Chhotubhai Gopalbhai Patel Institute of Technology,['Gujarat']
Shivam Education Campus,['Gujarat']
SMMHMC Vadodara,['Gujarat']
S.P.B Physiotherapy College,['Gujarat']
Laxmi Institute of Technology,['Gujarat']
"Atmiya Institute of Pharmacy (AIP), Rajkot",['Gujarat']
Smt N.M. Padalia Pharmacy College,['Gujarat']
SSPC Mehsana,['Gujarat']
"Government Polytechnic For Girls (GPG), Surat",['Gujarat']
Samaldas Arts College,['Gujarat']
Siddhpura Institute of Management & IT,['Gujarat']
Dr. R.D. Gardi Educational Campus,['Gujarat']
Veerayatan Group Of Institutions,['Gujarat']
Maniba Bhula Nursing College,['Gujarat']
Vadodara Design Academy,['Gujarat']
A.V. Parekh Technical Institute,['Gujarat']
Excel Institute of Diploma Studies,['Gujarat']
HJD Institute Of Technical Education And Research,['Gujarat']
Image Engineering & Technical Institute,['Gujarat']
Shree Krishna Institute of Pharmacy,['Gujarat']
Shree Swaminarayan Sanskar Pharmacy College,['Gujarat']
ROFEL Shri G.M. Bilakhia College of Pharmacy,['Gujarat']
N. R. Vekaria Institute of Pharmacy,['Gujarat']
ARIBAS Anand,['Gujarat']
Akshar-Preet Institute of Pharmacy,['Gujarat']
C U Shah Commerce College,['Gujarat']
SHREE SAMANVAY INSTITUTE OF PHARM. EDU. & RESEARCH,['Gujarat']
Drashti Netralaya,['Gujarat']
B. K. Mercantile Bank Law College,['Gujarat']
I. M. Nanavati Law College,['Gujarat']
Daulatbhai Trivedi Law College,['Gujarat']
Department of Microbiology,['Gujarat']
Y.S. Arts & K. S. Shah. Commerce College,['Gujarat']
MGITER Navsari,['Gujarat']
Shree Hari Polytechnic Institute,['Gujarat']
Tolani Foundation Gandhidham Polytechnic,['Gujarat']
"Indian Institute of Materials Management (IIMM), Ahmedabad",['Gujarat']
Sir L. A. Shah Law College,['Gujarat']
Shri Bhikhabhai Patel Arts College,['Gujarat']
Samarth Group of Colleges,['Gujarat']
VIDYAVARDHINI INSTITUTE OF TECHNOLOGY,['Gujarat']
Nootan College Of Nursing,['Gujarat']
K.B.RAVAL COLLEGE OF PHARMACY,['Gujarat']
HGCE Ahmedabad,['Gujarat']
Sanskar Institute of Management & Information Technology,['Gujarat']
"IBS Business School (IBS), Ahmedabad",['Gujarat']
Valia Institute of technology,['Gujarat']
"Sardar Patel Education Campus, Anand",['Gujarat']
Tatva Institute of Technological Studies,['Gujarat']
Saurashtra University Rajkot,['Gujarat']
R N Patel Ipcowala School of Law & Justice,['Gujarat']
C.U. Shah Science College,['Gujarat']
SHREE VASUDEVBHAI AND KANTIBHAI PATEL INSTITUTE OF ENGINEERING,['Gujarat']
V T Choksi Sarvajanik Law College,['Gujarat']
H.M.V College,['Gujarat']
Bhulabhai Vanmalibhai Patel Institute Of Technology,['Gujarat']
Laljibhai Chaturbhai Institute of Technology,['Gujarat']
FETR Bardoli,['Gujarat']
Vallabh Budhi Polytechnic,['Gujarat']
Shree H.M. Patel Mahila Law College,['Gujarat']
Shree H. N. Shukla College,['Gujarat']
KN University,['Gujarat']
Shah Khimchandbhai Muljibhai Law College,['Gujarat']
M. S. Bhagat and C. S. Sonawala Law College,['Gujarat']
Bhavan s Shri A.K.Doshi Mahila College,['Gujarat']
Institute of Management Nirma University,['Gujarat']
Anand Group Of Colleges,['Gujarat']
SWAMI KRISHNAJIVANDASJI INSTITUTE OF TECHNOLOGY,['Gujarat']
Sheth V.S. Law College,['Gujarat']
"Amor Design Institute (ADI), Ahmedabad",['Gujarat']
NBS Ahmedabad,['Gujarat']
"SMT NILABEN MANUBHAI PADALIA PHARMACY COLLEGE, NAVAPURA 262",['Gujarat']
Manikaka Topawala Institute of Nursing,['Gujarat']
SLTIET Rajkot,['Gujarat']
GURUKUL COLLEGE OF DIPLOMA IN HEALTH AND SANITARY INSPECTOR,['Gujarat']
Christ Polytechnic Institute,['Gujarat']
Shrey Institute of Nursing & Allied Sciences,['Gujarat']
Gyanmanjari Pharmacy College,['Gujarat']
Madhuben & Bhanubhai Patel Institute of Technology,['Gujarat']
GOVERNMENT PHARMACY COLLEGE GANDHINAGAR,['Gujarat']
"SHANKARSINH VAGHELA BAPU INSTITUTE OF PHARMACY, UNAVA, GANDHINAGAR 278",['Gujarat']
"SHARDA SCHOOL OF PHARMACY, PETHAPUR 247",['Gujarat']
INSTITUTE OF FORENSIC SCIENCE,['Gujarat']
National Forensic Sciences University,['Gujarat']
NOBLE HOMOEOPATHIC COLLEGE AND RESEARCH INSTITUTE - JUNAGADH,['Gujarat']
NOBLE BCA COLLEGE,['Gujarat']
NOBLE PHARMACY COLLEGE,['Gujarat']
"Government Pharmacy College, Surat",['Gujarat']
SARDAR PATEL NURSING COLLEGE AKHAJ,['Gujarat']
SHRI NILKANTH BACHELOR OF RURAL STUDIES COLLEGE KALOL,['Gujarat']
"Atmiya institue of Technology & Science for Diploma Studies Yogi Devine Soc, Rajkot  603",['Gujarat']
FACULTY OF LAW,['Gujarat']
ASHA M TARSADIA INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY,['Gujarat']
TARSADIA INSTITUTE OF CHEMICAL SCIENCE,['Gujarat']
C. U. Shah Institute of Nursing,['Gujarat']
ONE WORLD INSTITUTE OF NURSING,['Gujarat']
Baroda Sanskrit Mahavidhyalay,['Gujarat']
"Government Arts College (GAC), Gandhinagar",['Gujarat']
"Arts & Commerce College (ACC), Surendranagar",['Gujarat']
PATEL GROUP OF INSTITUTIONS,['Gujarat']
K.R.Doshi Vidhya sankul,['Gujarat']
Aurum Institute of Technology,['Gujarat']
Gujarat Institute of Technical Studies,['Gujarat']
Ipcowala Institute Of Engineering And Technology,['Gujarat']
SVHMC Bhavnagar,['Gujarat']
Indian Diamond Institute,['Gujarat']
CKPCET Surat,['Gujarat']
SBS Ahmedabad,['Gujarat']
L.J. Institute of Management Studies,['Gujarat']
GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,['Gujarat']
Ganpat University Centre of Management Studies,['Gujarat']
C. U. Shah College of Engineering and Technology,['Gujarat']
MB Patel Science College,['Gujarat']
S. P. T. Arts and Science College,['Gujarat']
KIT Jamnagar,['Gujarat']
NICM Gandhinagar,['Gujarat']
"Government Engineering College (GECM), Modasa",['Gujarat']
Tolani College of Arts and Science,['Gujarat']
SREZ Rajkot,['Gujarat']
Dollyben Desai Institute of Computer And Allied Sciences,['Gujarat']
Shivrath Center of Excellence in Clinical Research,['Gujarat']
Vivekanand Institute of Management,['Gujarat']
C.U. Shah College of Pharmacy and Research,['Gujarat']
Swaminarayana University,['Gujarat']
SSHMC Godhra,['Gujarat']
A.R.College of Pharmacy & G. H. Patel Institute of Pharmacy,['Gujarat']
"Ahmedabad Institute of Aeronautical Engineering and Information Technology (AIAEIT), Ahmedabad",['Gujarat']
"LJ University, Ahmedabad",['Gujarat']
ML Institute Of Diploma Studies,['Gujarat']
KJIT SAVLI Vadodara,['Gujarat']
VICT Gandhinagar,['Gujarat']
A.Y. Dadabhai Technical Institute,['Gujarat']
B M Institute of Mental Health,['Gujarat']
S. J. Thakkar Pharmacy College,['Gujarat']
"Anand Arts College (AAC), Anand",['Gujarat']
SREZ Rajkot,['Gujarat']
Shri K.K. Shastri Government Commerce College,['Gujarat']
Smt. S.M. Shah Pharmacy College,['Gujarat']
Shri B. M. Shah College of Pharmaceutical Education and Research,['Gujarat']
Shree H. N. Shukla Institute of Pharmaceutical Education & Research,['Gujarat']
"National Academy of Event Management & Development (NAEMD), Ahmedabad",['Gujarat']
